Year,Month,decimal_date,CO2_ppm,trend
1964,7,1964.5420000000001,320.44,319.58
1964,8,1964.625,318.7,319.81
1964,9,1964.7079999999999,316.7,319.56
1964,10,1964.7920000000001,316.79,319.78
1964,11,1964.875,317.79,319.72
1964,12,1964.9579999999999,318.71,319.59
1965,1,1965.0420000000001,319.44,319.48
1965,2,1965.125,320.44,319.97
1965,3,1965.2079999999999,320.89,319.65
1965,4,1965.2920000000001,322.13,319.8
1965,5,1965.375,322.16,319.36
1965,6,1965.4579999999999,321.87,319.65
1965,7,1965.5420000000001,321.39,320.51
1965,8,1965.625,318.81,319.93
1965,9,1965.7079999999999,317.81,320.68
1965,10,1965.7920000000001,317.3,320.36
1965,11,1965.875,318.87,320.87
1965,12,1965.9579999999999,319.42,320.26
1966,1,1966.0420000000001,320.62,320.63
1966,2,1966.125,321.59,321.1
1966,3,1966.2079999999999,322.39,321.16
1966,4,1966.2920000000001,323.87,321.51
1966,5,1966.375,324.01,321.18
1966,6,1966.4579999999999,323.75,321.52
1966,7,1966.5420000000001,322.39,321.49
1966,8,1966.625,320.37,321.5
1966,9,1966.7079999999999,318.64,321.54
1966,10,1966.7920000000001,318.1,321.18
1966,11,1966.875,319.79,321.84
1966,12,1966.9579999999999,321.08,321.95
1967,1,1967.0420000000001,322.07,322.07
1967,2,1967.125,322.5,321.94
1967,3,1967.2079999999999,323.04,321.72
1967,4,1967.2920000000001,324.42,322.05
1967,5,1967.375,325.0,322.27
1967,6,1967.4579999999999,324.09,321.94
1967,7,1967.5420000000001,322.55,321.66
1967,8,1967.625,320.92,322.04
1967,9,1967.7079999999999,319.31,322.19
1967,10,1967.7920000000001,319.31,322.36
1967,11,1967.875,320.72,322.78
1967,12,1967.9579999999999,321.96,322.86
1968,1,1968.0420000000001,322.57,322.55
1968,2,1968.125,323.15,322.56
1968,3,1968.2079999999999,323.89,322.59
1968,4,1968.2920000000001,325.02,322.73
1968,5,1968.375,325.57,322.87
1968,6,1968.4579999999999,325.36,323.2
